iter	Passed	Remaining
916	64953	76712
917	65027	76644
918	65136	76618
919	65233	76577
920	65311	76515
921	65411	76479
922	65491	76418
923	65560	76345
924	65630	76273
925	65718	76221
926	65802	76165
927	65883	76107
928	65947	76027
929	66013	75950
930	66076	75870
931	66132	75782
932	66195	75702
933	66268	75634
934	66348	75573
935	66421	75505
936	66536	75483
937	66595	75398
938	66655	75315
939	66721	75239
940	66785	75160
941	66845	75077
942	66903	74991
943	66961	74905
944	67025	74827
945	67116	74779
946	67186	74706
947	67257	74635
948	67336	74574
949	67400	74495
950	67476	74429
951	67540	74350
952	67601	74269
953	67666	74191
954	67733	74116
955	67794	74034
956	67856	73953
957	67927	73883
958	68003	73818
959	68073	73746
960	68147	73678
961	68214	73603
962	68289	73536
963	68370	73477
964	68422	73385
965	68479	73300
966	68542	73220
967	68604	73140
968	68669	73063
969	68733	72985
970	68797	72906
971	68859	72827
972	68918	72742
973	68981	72664
974	69043	72583
975	69100	72499
976	69160	72416
977	69222	72336
978	69288	72260
979	69351	72182
980	69424	72113
981	69512	72061
982	69576	71983
983	69633	71897
984	69687	71809
985	69750	71731
986	69813	71652
987	69877	71574
988	69938	71494
989	69998	71412
990	70061	71333
991	70116	71247
992	70177	71166
993	70239	71087
994	70302	71008
995	70364	70929
996	70420	70844
997	70483	70766
998	70550	70691
999	70616	70616
1000	70677	70536
1001	70741	70458
1002	70804	70380
1003	70865	70300
1004	70931	70225
1005	70991	70145
1006	71052	70065
1007	71111	69982
1008	71177	69907
1009	71239	69828
1010	71304	69752
1011	71361	69669
1012	71422	69589
1013	71495	69520
1014	71559	69444
1015	71620	69364
1016	71685	69288
1017	71743	69206
1018	71806	69128
1019	71868	69050
1020	71927	68968
1021	71990	68891
1022	72055	68815
1023	72118	68738
1024	72180	68659
1025	72240	68579
1026	72303	68501
1027	72365	68423
1028	72426	68343
1029	72484	68262
1030	72545	68182
1031	72603	68100
1032	72665	68022
1033	72739	67955
1034	72803	67879
1035	72863	67799
1036	72922	67719
1037	72983	67640
1038	73042	67559
1039	73101	67478
1040	73160	67397
1041	73220	67317
1042	73280	67237
1043	73345	67163
1044	73402	67080
1045	73462	67000
1046	73533	66931
1047	73608	66865
1048	73669	66786
1049	73731	66709
1050	73804	66642
1051	73865	66563
1052	73933	66490
1053	73991	66409
1054	74051	66330
1055	74112	66252
1056	74169	66169
1057	74232	66093
1058	74291	66013
1059	74353	65936
1060	74415	65858
1061	74476	65780
1062	74538	65703
1063	74612	65636
1064	74671	65556
1065	74730	65476
1066	74790	65398
1067	74853	65321
1068	74915	65244
1069	74976	65166
1070	75054	65103
1071	75112	65022
1072	75170	64941
1073	75230	64863
1074	75297	64790
1075	75361	64715
1076	75423	64638
1077	75489	64565
1078	75546	64484
1079	75604	64403
1080	75677	64336
1081	75741	64261
1082	75807	64188
1083	75878	64119
1084	75941	64042
1085	76002	63965
1086	76065	63889
1087	76122	63808
1088	76185	63733
1089	76244	63653
1090	76315	63584
1091	76392	63520
1092	76451	63441
1093	76512	63363
1094	76572	63285
1095	76631	63206
1096	76691	63128
1097	76753	63052
1098	76812	62973
1099	76879	62901
1100	76943	62826
1101	77008	62753
1102	77071	62677
1103	77125	62594
1104	77186	62517
1105	77243	62437
1106	77304	62360
1107	77367	62284
1108	77430	62210
1109	77496	62136
1110	77556	62058
1111	77617	61982
1112	77678	61905
1113	77743	61831
1114	77812	61761
1115	77876	61687
1116	77944	61615
1117	78008	61541
1118	78068	61464
1119	78130	61388
1120	78194	61314
1121	78256	61238
1122	78317	61161
1123	78385	61090
1124	78449	61016
1125	78505	60935
1126	78561	60855
1127	78631	60786
1128	78688	60706
1129	78746	60628
1130	78804	60549
1131	78864	60472
1132	78927	60397
1133	78994	60325
1134	79055	60249
1135	79116	60173
1136	79180	60098
1137	79239	60021
1138	79300	59945
1139	79363	59870
1140	79429	59798
1141	79489	59721
1142	79563	59655
1143	79625	59579
1144	79687	59504
1145	79741	59423
1146	79800	59345
1147	79871	59277
1148	79939	59206
1149	80002	59132
1150	80069	59060
1151	80129	58984
1152	80196	58912
1153	80264	58842
1154	80323	58764
1155	80381	58687
1156	80442	58611
1157	80504	58536
1158	80570	58463
1159	80626	58385
1160	80686	58308
1161	80748	58233
1162	80809	58157
1163	80874	58084
1164	80932	58007
1165	81002	57938
1166	81062	57861
1167	81123	57786
1168	81185	57711
1169	81247	57637
1170	81305	57559
1171	81366	57483
1172	81424	57406
1173	81490	57335
